Konkani,log(Y1),Sockeye ,log(Y2)
1.11,0.104360015,0.98,-0.020202707
1.34,0.292669614,0.88,-0.127833372
1.55,0.438254931,0.97,-0.030459207
1.53,0.425267735,0.99,-0.010050336
1.5,0.405465108,1.02,0.019802627
1.71,0.536493371,1.03,0.029558802
1.87,0.625938431,0.99,-0.010050336
1.86,0.620576488,0.97,-0.030459207
1.82,0.598836501,0.98,-0.020202707
2.01,0.698134722,1.03,0.029558802
1.95,0.667829373,1.08,0.076961041
2.01,0.698134722,1.15,0.139761942
1.66,0.506817602,0.9,-0.105360516
1.49,0.39877612,0.95,-0.051293294
1.59,0.463734016,0.94,-0.061875404
1.69,0.524728529,0.99,-0.010050336
1.8,0.587786665,,
2,0.693147181,,
2.3,0.832909123,,